x,y,z,ux,uy,uz,?x,?y,?z
-8.88333,4.16667,1.90476,0.00043808,-0.00019934,6.69126e-06,8.84705e-05,0.000330114,5.48928e-05
-8.66,5,1.90476,0.0003989,-0.000230332,-5.68224e-06,0.000165625,0.00028684,-1.29878e-08
-8.05,5.61,1.90476,0.000391663,-0.000279771,6.69002e-06,0.000241679,0.000241679,-5.49189e-05
-7.44,6.22,1.90476,0.000396183,-0.000340055,1.17226e-05,0.000264529,0.000264529,-4.32755e-05
-6.83,6.83,1.90476,0.000382101,-0.000382101,1.30837e-05,0.000274245,0.000274245,7.64447e-19
-6.22,7.44,1.90476,0.000340055,-0.000396183,1.17226e-05,0.000264529,0.000264529,4.32755e-05
-5.61,8.05,1.90476,0.000279771,-0.000391663,6.69002e-06,0.000241679,0.000241679,5.49189e-05
-5,8.66,1.90476,0.000230332,-0.0003989,-5.68224e-06,0.00028684,0.000165625,1.29878e-08
-4.16667,8.88333,1.90476,0.00019934,-0.00043808,6.69126e-06,0.000330114,8.84705e-05,-5.48928e-05
-3.33333,9.10667,1.90476,0.000173106,-0.000492528,1.17244e-05,0.000361306,9.68301e-05,-4.32405e-05
-2.5,9.33,1.90476,0.000139877,-0.000521871,1.3086e-05,0.000374552,0.00010038,4.46745e-08
-1.66667,9.55333,1.90476,9.64079e-05,-0.000513005,1.17258e-05,0.000361249,9.68148e-05,4.33231e-05
-0.833333,9.77667,1.90476,4.64434e-05,-0.000478913,6.69434e-06,0.000330009,8.84425e-05,5.49527e-05
0,10,1.90476,5.63811e-18,-0.000460451,-5.67671e-06,0.000331087,2.95614e-18,-1.18469e-17
0.833333,9.77667,1.90476,-4.64434e-05,-0.000478913,6.69434e-06,0.000330009,-8.84424e-05,-5.49527e-05
1.66667,9.55333,1.90476,-9.64079e-05,-0.000513005,1.17258e-05,0.000361249,-9.68148e-05,-4.33231e-05
2.5,9.33,1.90476,-0.000139877,-0.000521871,1.3086e-05,0.000374552,-0.00010038,-4.46745e-08
